ParentEduc_int,TestPrep_int,PracticeSport_int,WklyStudyHours_int,Gender_female,Gender_male,EthnicGroup_group A,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_free/reduced,LunchType_standard,ParentMaritalStatus_divorced,ParentMaritalStatus_married,ParentMaritalStatus_single,ParentMaritalStatus_widowed,IsFirstChild_no,IsFirstChild_yes,TransportMeans_private,TransportMeans_school_bus,MathScore,ReadingScore,WritingScore
2,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,71,71,74
1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,69,90,88
3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,87,93,91
2,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,45,56,42
1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,76,78,75
2,0,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,73,84,79
1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,85,93,89
1,0,1,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,41,43,39
0,1,1,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,65,64,68
0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,37,59,50
2,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,58,54,52
2,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,40,52,43
0,0,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,66,82,74
1,1,1,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,80,73,71
3,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,48,53,58
0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,69,75,78
0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,88,89,86
0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,18,32,28
3,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,46,42,47
2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,50,56,58
0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,66,69,63
1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,65,75,70
1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,42,53,51
0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,66,71,71
1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,74,71,80
3,0,2,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,75,76,76
1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,66,53,53
2,0,1,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,69,70,76
0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,70,70,65
1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,66,72,72
1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,63,65,61
3,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,56,73,66
1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,40,42,38
1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,97,87,82
2,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,81,81,79
2,0,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,76,82,85
0,0,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,51,64,60
2,1,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,77,91,90
2,0,2,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,58,56,58
2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,53,60,52
2,0,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,59,74,69
1,0,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,60,65,67
2,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,48,55,52
2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,63,53,55
0,0,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,67,72,77
0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,82,84,82
1,0,1,2,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,54,55,48
2,1,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,76,68,68
1,0,2,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,56,45,43
0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,88,78,75
0,1,2,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,75,86,90
0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,33,41,43
2,1,1,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,84,86,87
2,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,52,55,49
1,1,2,2,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,61,60,60
0,0,2,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,17,10
0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,39,39,34
2,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,62,61,55
0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,59,58,59
0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,63,62,58
